h_ip,Seed,File_Index,Susceptibility,Rho,CV,Branching_Ratio_Method_1,Branching_Ratio_Method_2,Branching_Ratio_Priesemann,Pearson_Kappa,D2_Correlation_Dimension,D2_AR_Order
0.1,run_seed_0,0,0.001841313587046018,0.10747710972222223,0.3992527351743252,1.0355191256830603,1.0871598287736213,0.8187307816539509,8.340317412438901,0.06596344016042316,10
0.1,run_seed_1,1,0.0025093797643223436,0.10461870138888901,0.47882175139697497,1.1419027736355503,1.2300099554026491,0.999790565340244,15.942604574423234,0.014355696050110143,10
0.1,run_seed_2,2,0.003884015307646396,0.11103392361111107,0.5612867364133358,1.2712226374799784,1.233609395871369,0.8187307530779819,16.249703671707255,0.014453208881059327,10
0.1,run_seed_3,3,0.0010242199106050658,0.10005531805555555,0.3198574202819761,1.1773226773226773,1.0938369914895123,0.9845656816978728,12.291841664608432,0.03398218444538342,10
0.1,run_seed_4,4,0.0013945943863068245,0.11010273472222222,0.3391765749274492,1.3107142857142857,1.084729281320159,0.9191842904498972,10.715844053967272,0.043522196036559505,10
0.1,run_seed_5,5,0.001774257665378325,0.10760507222222217,0.3914493730040631,1.2530884808013356,1.1174858166791148,0.8834199113067184,10.479526902355774,0.039903694510447105,10
0.1,run_seed_6,6,0.001973693147295904,0.11025842083333326,0.4029285570758913,1.2295719844357977,1.0832875596855907,0.8187307530779823,6.907787573474633,0.06433853398361258,10
0.1,run_seed_7,7,0.001893091711652799,0.11218203611111115,0.38784885066479086,1.3667481662591687,1.1023739076704282,0.8195391381054355,6.496548863582483,0.05802589891347314,9
0.1,run_seed_8,8,0.0029320422047152944,0.1106479750000001,0.48937484122961117,1.2891692954784437,1.1555410087301146,0.9795144808174258,13.11853838656279,0.033471696831828726,10
0.1,run_seed_9,9,0.0034681254318396667,0.10138852916666675,0.5808427531585761,1.3410722833891815,1.2116595862796857,0.8187307530779819,6.593856608503291,0.0447752178917329,10
